tour,player1,player2,best_of,round,date,court
WTA,Madison Keys,Alina Korneeva,3,R128,2026-09-01,Arthur Ashe Stadium
ATP,Taylor Fritz,Darwin Blanch,5,R128,2026-09-01,Arthur Ashe Stadium
WTA,Zeynep Sonmez,Coco Gauff,3,R128,2026-09-01,Arthur Ashe Stadium
ATP,Alexander Zverev,Lorenzo Sonego,5,R128,2026-09-01,Arthur Ashe Stadium
ATP,Francisco Comesana,Flavio Cobolli,5,R128,2026-09-01,Louis Armstrong Stadium
WTA,Mirra Andreeva,Janice Tjen,3,R128,2026-09-01,Louis Armstrong Stadium
ATP,Adolfo Daniel Vallejo,Daniel Monfils,5,R128,2026-09-01,Louis Armstrong Stadium
WTA,Mary Stoiana,Alexandra Eala,3,R128,2026-09-01,Louis Armstrong Stadium
WTA,Thea Frodin,Elena Rybakina,3,R128,2026-09-01,Grandstand
ATP,Arthur Fery,Lorenzo Musetti,5,R128,2026-09-01,Grandstand
WTA,Iva Jovic,Magdalena Frech,3,R128,2026-09-01,Grandstand
ATP,Andrea Guerrieri,Alex de Minaur,5,R128,2026-09-01,Grandstand
WTA,Yulia Putintseva,Belinda Bencic,3,R128,2026-09-01,Court 17
WTA,Daria Kasatkina,Paula Badosa,3,R128,2026-09-01,Court 17
ATP,Rafa Jodar,Thanasi Kokkinakis,5,R128,2026-09-01,Court 17
ATP,Marcos Giron,Ignacio Buse,5,R128,2026-09-01,Court 17
ATP,Filip Misolic,Francisco Cerundolo,5,R128,2026-09-01,Court 5
WTA,Anastasia Potapova,Darja Semenistaja,3,R128,2026-09-01,Court 5
WTA,Kaitlin Quevedo,Elise Mertens,3,R128,2026-09-01,Court 5
ATP,Jan Choinski,Botic Van De Zandschulp,5,R128,2026-09-01,Court 5
WTA,Gabriela Knutson,Eva Lys,3,R128,2026-09-01,Court 6
WTA,Lucie Havlickova,Anna Bondar,3,R128,2026-09-01,Court 6
ATP,Juan Manuel Cerundolo,Arthur Gea,5,R128,2026-09-01,Court 6
WTA,Magda Linette,Francesca Jones,3,R128,2026-09-01,Court 6
ATP,Dane Sweeny,Corentin Moutet,5,R128,2026-09-01,Court 7
WTA,Darja Vidmanova,Jessica Bouzas Maneiro,3,R128,2026-09-01,Court 7
WTA,Arantxa Rus,Leolia Jeanjean,3,R128,2026-09-01,Court 7
ATP,Mattia Bellucci,Zsombor Piros,5,R128,2026-09-01,Court 10
ATP,Jesper de Jong,Francesco Passaro,5,R128,2026-09-01,Court 10
WTA,Nikola Bartunkova,Mayar Sherif,3,R128,2026-09-01,Court 10
ATP,Nishesh Basavareddy,Tristan Schoolkate,5,R128,2026-09-01,Court 11
WTA,Tatjana Maria,Jelena Ostapenko,3,R128,2026-09-01,Court 11
ATP,Fabian Marozsan,Michael Zheng,5,R128,2026-09-01,Court 11
WTA,Maria Sakkari,Robin Montgomery,3,R128,2026-09-01,Court 12
ATP,Zizou Bergs,Carlos Taberner,5,R128,2026-09-01,Court 12
ATP,Zachary Svajda,Daniel Altmaier,5,R128,2026-09-01,Court 12
WTA,Oleksandra Oliynykova,Reese Brantmeier,3,R128,2026-09-01,Court 12
WTA,Yuliia Starodubtseva,Ella Seidel,3,R128,2026-09-01,Court 13
ATP,Camilo Ugo Carabelli,Jan-Lennard Struff,5,R128,2026-09-01,Court 13
ATP,Alex Molcan,Benjamin Bonzi,5,R128,2026-09-01,Court 13
